# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 18:03:06 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536118 NB CHICAGO RIVER AT GRAND AVENUE AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536118
#    DD parameter statistic   Description
#    01   00065     00003     Gage height, feet (Mean)
#    02   00055     00003     Stream velocity, feet per second (Mean)
#    03   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00065_00003	01_00065_00003_cd	02_00055_00003	02_00055_00003_cd	03_00060_00003	03_00060_00003_cd
USGS	05536118	2007-10-12	-2.06	A	0.168	A	389	A
USGS	05536118	2007-10-13	-2.11	A	0.159	A	365	A
USGS	05536118	2007-10-14	-2.26	A	0.181	A	412	A
USGS	05536118	2007-10-15	-2.17	A	0.171	A	391	A
USGS	05536118	2007-10-16	-2.42	A	0.241	A	542	A
USGS	05536118	2007-10-17	-2.27	A	0.217	A	492	A
USGS	05536118	2007-10-18	-2.62	A	0.241	A	531	A
USGS	05536118	2007-10-19	-2.19	A	0.183	A	418	A
USGS	05536118	2007-10-20	-2.36	A	0.209	A	472	A
USGS	05536118	2007-10-21	-2.44	A	0.144	A	323	A
USGS	05536118	2007-10-22	-2.33	A	0.214	A	484	A
USGS	05536118	2007-10-23	-2.36	A	0.199	A	449	A
USGS	05536118	2007-10-24	-2.18	A	0.154	A	352	A
USGS	05536118	2007-10-25	-2.26	A	0.161	A	366	A
USGS	05536118	2007-10-26	-2.23	A	0.183	A	417	A
USGS	05536118	2007-10-27	-2.13	A	0.208	A	478	A
USGS	05536118	2007-10-28	-2.36	A	0.187	A	421	A
USGS	05536118	2007-10-29	-2.25	A	0.176	A	401	A
USGS	05536118	2007-10-30	-2.33	A	0.207	A	467	A
USGS	05536118	2007-10-31	-2.50	A	0.172	A	384	A
USGS	05536118	2007-11-01	-2.62	A	0.167	A	368	A
USGS	05536118	2007-11-02	-2.42	A	0.166	A	373	A
USGS	05536118	2007-11-03	-2.23	A	0.146	A	333	A
USGS	05536118	2007-11-04	-2.40	A	0.173	A	389	A
USGS	05536118	2007-11-05	-2.37	A	0.154	A	346	A
USGS	05536118	2007-11-06	-2.38	A	0.161	A	362	A
USGS	05536118	2007-11-07	-2.31	A	0.168	A	380	A
USGS	05536118	2007-11-08	-2.52	A	0.171	A	380	A
USGS	05536118	2007-11-09	-2.44	A	0.161	A	361	A
USGS	05536118	2007-11-10	-2.18	A	0.147	A	337	A
USGS	05536118	2007-11-11	-2.53	A	0.188	A	419	A
USGS	05536118	2007-11-12	-2.44	A	0.147	A	328	A
USGS	05536118	2007-11-13	-2.46	A	0.172	A	386	A
USGS	05536118	2007-11-14	-2.71	A	0.181	A	398	A
USGS	05536118	2007-11-15	-2.60	A	0.146	A	324	A
USGS	05536118	2007-11-16	-2.65	A	0.159	A	351	A
USGS	05536118	2007-11-17	-2.48	A	0.146	A	326	A
USGS	05536118	2007-11-18	-2.13	A	0.144	A	330	A
USGS	05536118	2007-11-19	-2.58	A	0.192	A	425	A
USGS	05536118	2007-11-20	-2.56	A	0.167	A	370	A
USGS	05536118	2007-11-21	-2.53	A	0.331	A	734	A
USGS	05536118	2007-11-22	-2.17	A	0.296	A	678	A
USGS	05536118	2007-11-23	-2.60	A	0.207	A	459	A
USGS	05536118	2007-11-24	-2.61	A	0.186	A	412	A
USGS	05536118	2007-11-25	-2.66	A	0.167	A	369	A
USGS	05536118	2007-11-26	-2.52	A	0.162	A	360	A
USGS	05536118	2007-11-27	-2.78	A	0.189	A	413	A
USGS	05536118	2007-11-28	-2.90	A	0.169	A	365	A
USGS	05536118	2007-11-29	-2.85	A	0.179	A	388	A
USGS	05536118	2007-11-30	-2.98	A	0.172	A	368	A
USGS	05536118	2007-12-01	-2.75	A	0.164	A	360	A
USGS	05536118	2007-12-02	-2.56	A	0.307	A	682	A
USGS	05536118	2007-12-03	-2.34	A	0.251	A	568	A
USGS	05536118	2007-12-04	-2.71	A	0.203	A	444	A
USGS	05536118	2007-12-05	-2.34	A	0.175	A	396	A
USGS	05536118	2007-12-06	-2.59	A	0.202	A	447	A
USGS	05536118	2007-12-07	-2.58	A	0.149	A	370	A:e
USGS	05536118	2007-12-08	-2.58	A	0.082	A	361	A:e
USGS	05536118	2007-12-09	-2.70	A	0.104	A	354	A:e
USGS	05536118	2007-12-10	-2.70	A	0.168	A	348	A:e
USGS	05536118	2007-12-11	-2.49	A	0.268	A	693	A:e
USGS	05536118	2007-12-12	-2.75	A	0.255	A	559	A
USGS	05536118	2007-12-13	-2.46	A	0.251	A	562	A
USGS	05536118	2007-12-14	-3.02	A	0.218	A	466	A
USGS	05536118	2007-12-15	-2.89	A	0.187	A	403	A
USGS	05536118	2007-12-16	-2.22	A	0.184	A	419	A
USGS	05536118	2007-12-17	-2.74	A	0.192	A	419	A
USGS	05536118	2007-12-18	-2.85	A	0.090	A	391	A:e
USGS	05536118	2007-12-19	-2.65	A	0.117	A	389	A:e
USGS	05536118	2007-12-20	-2.54	A	0.203	A	452	A
USGS	05536118	2007-12-21	-2.62	A	0.214	A	472	A
USGS	05536118	2007-12-22	-2.34	A	0.279	A	630	A
USGS	05536118	2007-12-23	-2.66	A	0.384	A	843	A
USGS	05536118	2007-12-24	-2.95	A	0.341	A	732	A
USGS	05536118	2007-12-25	-2.87	A	0.198	A	430	A
USGS	05536118	2007-12-26	-2.91	A	0.202	A	436	A
USGS	05536118	2007-12-27	-2.74	A	0.212	A	463	A
USGS	05536118	2007-12-28	-2.62	A	0.228	A	505	A
USGS	05536118	2007-12-29	-2.51	A	0.234	A	522	A
USGS	05536118	2007-12-30	-2.96	A	0.164	A	435	A:e
USGS	05536118	2007-12-31	-2.55	A	0.124	A	420	A:e
USGS	05536118	2008-01-01	-2.37	A	0.201	A	454	A
USGS	05536118	2008-01-02	-2.48	A	0.190	A	425	A
USGS	05536118	2008-01-03	-2.79	A	0.106	A	385	A:e
USGS	05536118	2008-01-04	-2.65	A	0.139	A	406	A:e
USGS	05536118	2008-01-05	-2.51	A	0.194	A	432	A
USGS	05536118	2008-01-06	-2.50	A	0.289	A	643	A
USGS	05536118	2008-01-07	-2.56	A	0.256	A	567	A
USGS	05536118	2008-01-08	-1.89	A	0.533	A	1260	A
USGS	05536118	2008-01-09	-2.81	A	0.461	A	1010	A
USGS	05536118	2008-01-10	-3.19	A	0.333	A	700	A
USGS	05536118	2008-01-11	-2.41	A	0.337	A	758	A
USGS	05536118	2008-01-12	-2.21	A	0.276	A	630	A
USGS	05536118	2008-01-13	-2.39	A	0.251	A	566	A
USGS	05536118	2008-01-14	-2.51	A	0.227	A	505	A
USGS	05536118	2008-01-15	-2.35	A	0.218	A	493	A
USGS	05536118	2008-01-16	-2.67	A	0.187	A	411	A
USGS	05536118	2008-01-17	-2.47	A	0.191	A	429	A
USGS	05536118	2008-01-18	-2.76	A	0.216	A	472	A
USGS	05536118	2008-01-19	-2.67	A	0.161	A	396	A:e
USGS	05536118	2008-01-20	-2.64	A	0.145	A	382	A:e
USGS	05536118	2008-01-21	-2.73	A	0.148	A	431	A:e
USGS	05536118	2008-01-22	-2.62	A	0.183	A	434	A:e
USGS	05536118	2008-01-23	-2.79	A	0.169	A	419	A:e
USGS	05536118	2008-01-24	-2.53	A	0.133	A	451	A:e
USGS	05536118	2008-01-25	-2.53	A	0.096	A	437	A:e
USGS	05536118	2008-01-26	-2.59	A	0.072	A	375	A:e
USGS	05536118	2008-01-27	-2.56	A	0.175	A	375	A:e
USGS	05536118	2008-01-28	-2.56	A	0.159	A	463	A:e
USGS	05536118	2008-01-29	-2.61	A	0.215	A	503	A:e
USGS	05536118	2008-01-30	-2.75	A	0.234	A	511	A
USGS	05536118	2008-01-31	-2.92	A	0.151	A	414	A:e
USGS	05536118	2008-02-01	-2.49	A	0.163	A	402	A:e
USGS	05536118	2008-02-02	-2.41	A	0.154	A	425	A:e
USGS	05536118	2008-02-03	-2.67	A	0.064	A	413	A:e
USGS	05536118	2008-02-04	-2.36	A	0.163	A	618	A:e
USGS	05536118	2008-02-05	-2.30	A	0.326	A	737	A
USGS	05536118	2008-02-06	-2.24	A	0.292	A	666	A
USGS	05536118	2008-02-07	-2.12	A	0.254	A	584	A
USGS	05536118	2008-02-08	-2.56	A	0.205	A	457	A
USGS	05536118	2008-02-09	-2.58	A	0.299	A	663	A
USGS	05536118	2008-02-10	-2.77	A	0.247	A	539	A
USGS	05536118	2008-02-11	-2.85	A	0.164	A	492	A:e
USGS	05536118	2008-02-12	-2.44	A	0.169	A	466	A:e
USGS	05536118	2008-02-13	-2.18	A	0.191	A	480	A:e
USGS	05536118	2008-02-14	-2.71	A	0.183	A	446	A:e
USGS	05536118	2008-02-15	-2.75	A	0.182	A	424	A:e
USGS	05536118	2008-02-16	-2.81	A	0.173	A	431	A:e
USGS	05536118	2008-02-17	-2.28	A	0.511	A	1180	A
USGS	05536118	2008-02-18	-2.84	A	0.636	A	1380	A
USGS	05536118	2008-02-19	-2.30	A	0.291	A	660	A
USGS	05536118	2008-02-20	-2.46	A	0.256	A	572	A
USGS	05536118	2008-02-21	-2.22	A	0.237	A	747	A:e
USGS	05536118	2008-02-22	-2.54	A	0.219	A	571	A:e
USGS	05536118	2008-02-23	-2.45	A	0.204	A	528	A:e
USGS	05536118	2008-02-24	-2.19	A	0.184	A	501	A:e
USGS	05536118	2008-02-25	-2.56	A	0.219	A	486	A
USGS	05536118	2008-02-26	-2.62	A	0.230	A	544	A:e
USGS	05536118	2008-02-27	-2.27	A	0.188	A	439	A:e
USGS	05536118	2008-02-28	-2.13	A	0.158	A	443	A:e
USGS	05536118	2008-02-29	-2.48	A	0.168	A	501	A:e
USGS	05536118	2008-03-01	-2.41	A	0.191	A	456	A:e
USGS	05536118	2008-03-02	-2.23	A	0.183	A	611	A:e
USGS	05536118	2008-03-03	-2.71	A	0.535	A	1170	A
USGS	05536118	2008-03-04	-2.33	A	0.518	A	1170	A
USGS	05536118	2008-03-05	-2.15	A	0.381	A	874	A
USGS	05536118	2008-03-06	-2.37	A	0.307	A	693	A
USGS	05536118	2008-03-07	-2.22	A	0.261	A	595	A
USGS	05536118	2008-03-08	-2.22	A	0.227	A	704	A:e
USGS	05536118	2008-03-09	-2.42	A	0.197	A	587	A:e
USGS	05536118	2008-03-10	-2.59	A	0.234	A	551	A:e
USGS	05536118	2008-03-11	-2.51	A	0.241	A	537	A
USGS	05536118	2008-03-12	-2.47	A	0.218	A	488	A
USGS	05536118	2008-03-13	-2.18	A	0.286	A	654	A
USGS	05536118	2008-03-14	-2.52	A	0.346	A	770	A
USGS	05536118	2008-03-15	-2.07	A	0.340	A	785	A
USGS	05536118	2008-03-16	-2.46	A	0.298	A	668	A
USGS	05536118	2008-03-17	-2.58	A	0.284	A	628	A
USGS	05536118	2008-03-18	-2.52	A	0.252	A	562	A
USGS	05536118	2008-03-19	-2.21	A	0.246	A	563	A
USGS	05536118	2008-03-20	-2.36	A	0.259	A	584	A
USGS	05536118	2008-03-21	-2.31	A	0.212	A	479	A
USGS	05536118	2008-03-22	-2.00	A	0.269	A	625	A
USGS	05536118	2008-03-23	-2.40	A	0.253	A	569	A
USGS	05536118	2008-03-24	-2.12	A	0.286	A	658	A
USGS	05536118	2008-03-25	-2.63	A	0.329	A	727	A
USGS	05536118	2008-03-26	-2.40	A	0.307	A	692	A
USGS	05536118	2008-03-27	-2.26	A	0.366	A	833	A
USGS	05536118	2008-03-28	-2.07	A	0.398	A	919	A
USGS	05536118	2008-03-29	-2.37	A	0.342	A	771	A
USGS	05536118	2008-03-30	-2.19	A	0.257	A	589	A
USGS	05536118	2008-03-31	-2.14	A	0.339	A	780	A
USGS	05536118	2008-04-01	-2.20	A	0.423	A	967	A
USGS	05536118	2008-04-02	-2.08	A	0.386	A	891	A
USGS	05536118	2008-04-03	-2.34	A	0.346	A	781	A
USGS	05536118	2008-04-04	-2.42	A	0.329	A	740	A
USGS	05536118	2008-04-05	-2.06	A	0.274	A	632	A
USGS	05536118	2008-04-06	-2.14	A	0.274	A	629	A
USGS	05536118	2008-04-07	-2.25	A	0.271	A	616	A
USGS	05536118	2008-04-08	-2.57	A	0.251	A	558	A
USGS	05536118	2008-04-09	-2.41	A	0.395	A	888	A
USGS	05536118	2008-04-10	-2.72	A	0.477	A	1050	A
USGS	05536118	2008-04-11	-2.29	A	0.573	A	1300	A
USGS	05536118	2008-04-12	-2.33	A	0.564	A	1280	A
USGS	05536118	2008-04-13	-2.42	A	0.469	A	1050	A
USGS	05536118	2008-04-14	-1.92	A	0.373	A	872	A
USGS	05536118	2008-04-15	-2.13	A	0.330	A	759	A
USGS	05536118	2008-04-16	-2.18	A	0.300	A	688	A
USGS	05536118	2008-04-17	-2.11	A	0.255	A	588	A
USGS	05536118	2008-04-18	-2.03	A	0.258	A	599	A
USGS	05536118	2008-04-19	-2.13	A	0.241	A	553	A
USGS	05536118	2008-04-20	-2.02	A	0.243	A	563	A
USGS	05536118	2008-04-21	-2.00	A	0.225	A	523	A
USGS	05536118	2008-04-22	-1.94	A	0.214	A	499	A
USGS	05536118	2008-04-23	-2.02	A	0.242	A	561	A
USGS	05536118	2008-04-24	-2.40	A	0.227	A	510	A
USGS	05536118	2008-04-25	-2.16	A	0.233	A	533	A
USGS	05536118	2008-04-26	-2.25	A	0.300	A	683	A
USGS	05536118	2008-04-27	-2.37	A	0.228	A	513	A
USGS	05536118	2008-04-28	-2.02	A	0.253	A	588	A
USGS	05536118	2008-04-29	-2.07	A	0.295	A	682	A
USGS	05536118	2008-04-30	-2.16	A	0.217	A	497	A
USGS	05536118	2008-05-01	-1.90	A	0.207	A	485	A
USGS	05536118	2008-05-02	-2.20	A	0.330	A	753	A
USGS	05536118	2008-05-03	-2.21	A	0.341	A	778	A
USGS	05536118	2008-05-04	-2.16	A	0.238	A	544	A
USGS	05536118	2008-05-05	-1.92	A	0.273	A	638	A
USGS	05536118	2008-05-06	-1.95	A	0.324	A	755	A
USGS	05536118	2008-05-07	-2.11	A	0.295	A	680	A
USGS	05536118	2008-05-08	-2.04	A	0.354	A	820	A
USGS	05536118	2008-05-09	-2.00	A	0.234	A	544	A
USGS	05536118	2008-05-10	-1.97	A	0.251	A	583	A
USGS	05536118	2008-05-11	-2.56	A	0.419	A	935	A
USGS	05536118	2008-05-12	-2.20	A	0.308	A	700	A
USGS	05536118	2008-05-13	-2.12	A	0.302	A	694	A
USGS	05536118	2008-05-14	-2.23	A	0.243	A	552	A
USGS	05536118	2008-05-15	-1.90	A	0.272	A	637	A
USGS	05536118	2008-05-16	-1.98	A	0.307	A	715	A
USGS	05536118	2008-05-17	-2.37	A	0.325	A	734	A
USGS	05536118	2008-05-18	-1.99	A	0.291	A	677	A
USGS	05536118	2008-05-19	-2.18	A	0.301	A	688	A
USGS	05536118	2008-05-20	-2.09	A	0.267	A	616	A
USGS	05536118	2008-05-21	-1.94	A	0.285	A	665	A
USGS	05536118	2008-05-22	-2.09	A	0.291	A	669	A
USGS	05536118	2008-05-23	-1.98	A	0.241	A	562	A
USGS	05536118	2008-05-24	-2.01	A	0.280	A	650	A
USGS	05536118	2008-05-25	-2.03	A	0.240	A	555	A
USGS	05536118	2008-05-26	-2.55	A	0.363	A	805	A
USGS	05536118	2008-05-27	-2.22	A	0.254	A	581	A
USGS	05536118	2008-05-28	-2.15	A	0.201	A	460	A
