# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-05-24 17:58:41 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536105 NB CHICAGO RIVER AT ALBANY AVENUE AT CHICAGO, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536105
#    DD parameter statistic   Description
#    01   00065     00003     Gage height, feet (Mean)
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00065_00003	01_00065_00003_cd	02_00060_00003	02_00060_00003_cd
USGS	05536105	2008-01-03	1.53	A	58	A:e
USGS	05536105	2008-01-04	1.68	A	60	A:e
USGS	05536105	2008-01-05	1.52	A	63	A
USGS	05536105	2008-01-06	1.84	A	114	A
USGS	05536105	2008-01-07	2.58	A	265	A
USGS	05536105	2008-01-08	3.27	A	454	A
USGS	05536105	2008-01-09	3.44	A	500	A
USGS	05536105	2008-01-10	2.79	A	316	A
USGS	05536105	2008-01-11	2.82	A	230	A:e
USGS	05536105	2008-01-12	2.67	A	170	A:e
USGS	05536105	2008-01-13	2.28	A	120	A:e
USGS	05536105	2008-01-14	2.04	A	98	A:e
USGS	05536105	2008-01-15	1.84	A	80	A:e
USGS	05536105	2008-01-16	1.69	A	66	A:e
USGS	05536105	2008-01-17	1.62	A	62	A:e
USGS	05536105	2008-01-18	1.56	A	58	A:e
USGS	05536105	2008-01-19	1.50	A	56	A:e
USGS	05536105	2008-01-20	1.60	A	54	A:e
USGS	05536105	2008-01-21	1.79	A	52	A:e
USGS	05536105	2008-01-22	1.66	A	50	A:e
USGS	05536105	2008-01-23	1.89	A	48	A:e
USGS	05536105	2008-01-24	1.99	A	47	A:e
USGS	05536105	2008-01-25	1.86	A	47	A:e
USGS	05536105	2008-01-26	1.61	A	47	A:e
USGS	05536105	2008-01-27	1.50	A	47	A:e
USGS	05536105	2008-01-28	1.47	A	56	A
USGS	05536105	2008-01-29	1.74	A	96	A
USGS	05536105	2008-01-30	2.00	A	141	A
USGS	05536105	2008-01-31	1.69	A	87	A
USGS	05536105	2008-02-01	1.60	A	73	A
USGS	05536105	2008-02-02	1.63	A	78	A
USGS	05536105	2008-02-03	1.57	A	69	A
USGS	05536105	2008-02-04	1.66	A	84	A
USGS	05536105	2008-02-05	2.67	A	287	A
USGS	05536105	2008-02-06	2.65	A	283	A
USGS	05536105	2008-02-07	2.34	A	210	A
USGS	05536105	2008-02-08	2.16	A	170	A
USGS	05536105	2008-02-09	2.16	A	171	A
USGS	05536105	2008-02-10	1.97	A	135	A
USGS	05536105	2008-02-11	1.79	A	106	A
USGS	05536105	2008-02-12	1.90	A	96	A:e
USGS	05536105	2008-02-13	1.81	A	88	A:e
USGS	05536105	2008-02-14	1.74	A	82	A:e
USGS	05536105	2008-02-15	1.65	A	80	A
USGS	05536105	2008-02-16	1.63	A	79	A
USGS	05536105	2008-02-17	2.70	A	351	A
USGS	05536105	2008-02-18	4.38	A	820	A
USGS	05536105	2008-02-19	3.83	A	627	A
USGS	05536105	2008-02-20	3.44	A	501	A
USGS	05536105	2008-02-21	2.89	A	346	A
USGS	05536105	2008-02-22	2.25	A	191	A
USGS	05536105	2008-02-23	2.06	A	120	A:e
USGS	05536105	2008-02-24	1.85	A	98	A:e
USGS	05536105	2008-02-25	1.76	A	86	A:e
USGS	05536105	2008-02-26	1.78	A	76	A:e
USGS	05536105	2008-02-27	1.74	A	74	A:e
USGS	05536105	2008-02-28	1.62	A	68	A:e
USGS	05536105	2008-02-29	1.57	A	69	A
USGS	05536105	2008-03-01	1.63	A	78	A
USGS	05536105	2008-03-02	1.71	A	93	A
USGS	05536105	2008-03-03	3.87	A	656	A
USGS	05536105	2008-03-04	4.67	A	930	A
USGS	05536105	2008-03-05	4.11	A	723	A
USGS	05536105	2008-03-06	3.55	A	536	A
USGS	05536105	2008-03-07	3.10	A	399	A
USGS	05536105	2008-03-08	2.67	A	287	A
USGS	05536105	2008-03-09	2.35	A	211	A
USGS	05536105	2008-03-10	2.17	A	172	A
USGS	05536105	2008-03-11	2.04	A	148	A
USGS	05536105	2008-03-12	2.24	A	188	A
USGS	05536105	2008-03-13	2.65	A	283	A
USGS	05536105	2008-03-14	3.47	A	509	A
USGS	05536105	2008-03-15	3.58	A	542	A
USGS	05536105	2008-03-16	3.18	A	423	A
USGS	05536105	2008-03-17	2.73	A	301	A
USGS	05536105	2008-03-18	2.55	A	257	A
USGS	05536105	2008-03-19	2.54	A	256	A
USGS	05536105	2008-03-20	2.50	A	246	A
USGS	05536105	2008-03-21	2.37	A	216	A
USGS	05536105	2008-03-22	2.38	A	218	A
USGS	05536105	2008-03-23	2.51	A	248	A
USGS	05536105	2008-03-24	2.55	A	258	A
USGS	05536105	2008-03-25	2.56	A	259	A
USGS	05536105	2008-03-26	3.04	A	386	A
USGS	05536105	2008-03-27	3.24	A	440	A
USGS	05536105	2008-03-28	3.45	A	502	A
USGS	05536105	2008-03-29	3.21	A	431	A
USGS	05536105	2008-03-30	2.78	A	313	A
USGS	05536105	2008-03-31	2.72	A	301	A
USGS	05536105	2008-04-01	3.81	A	618	A
USGS	05536105	2008-04-02	3.73	A	591	A
USGS	05536105	2008-04-03	3.16	A	417	A
USGS	05536105	2008-04-04	2.92	A	349	A
USGS	05536105	2008-04-05	2.71	A	296	A
USGS	05536105	2008-04-06	2.45	A	234	A
USGS	05536105	2008-04-07	2.31	A	203	A
USGS	05536105	2008-04-08	2.18	A	174	A
USGS	05536105	2008-04-09	2.92	A	353	A
USGS	05536105	2008-04-10	3.39	A	488	A
USGS	05536105	2008-04-11	4.45	A	846	A
USGS	05536105	2008-04-12	4.32	A	798	A
USGS	05536105	2008-04-13	3.97	A	671	A
USGS	05536105	2008-04-14	3.39	A	485	A
USGS	05536105	2008-04-15	2.96	A	360	A
USGS	05536105	2008-04-16	2.73	A	300	A
USGS	05536105	2008-04-17	2.48	A	240	A
USGS	05536105	2008-04-18	2.36	A	213	A
USGS	05536105	2008-04-19	2.21	A	180	A
USGS	05536105	2008-04-20	2.09	A	157	A
USGS	05536105	2008-04-21	1.99	A	139	A
USGS	05536105	2008-04-22	1.92	A	126	A
USGS	05536105	2008-04-23	1.86	A	115	A
USGS	05536105	2008-04-24	1.81	A	106	A
USGS	05536105	2008-04-25	1.93	A	128	A
USGS	05536105	2008-04-26	2.21	A	181	A
USGS	05536105	2008-04-27	2.04	A	147	A
USGS	05536105	2008-04-28	1.99	A	138	A
USGS	05536105	2008-04-29	2.46	A	236	A
USGS	05536105	2008-04-30	2.19	A	178	A
USGS	05536105	2008-05-01	2.02	A	144	A
USGS	05536105	2008-05-02	2.20	A	185	A
USGS	05536105	2008-05-03	3.07	A	392	A
USGS	05536105	2008-05-04	2.34	A	209	A
USGS	05536105	2008-05-05	2.05	A	149	A
USGS	05536105	2008-05-06	1.97	A	136	A
USGS	05536105	2008-05-07	2.03	A	150	A
USGS	05536105	2008-05-08	2.63	A	278	A
USGS	05536105	2008-05-09	2.02	A	145	A
USGS	05536105	2008-05-10	1.82	A	107	A
USGS	05536105	2008-05-11	2.35	A	226	A
USGS	05536105	2008-05-12	2.59	A	270	A
USGS	05536105	2008-05-13	1.98	A	138	A
USGS	05536105	2008-05-14	1.94	A	128	A
USGS	05536105	2008-05-15	1.78	A	102	A
USGS	05536105	2008-05-16	1.76	A	97	A
USGS	05536105	2008-05-17	1.78	A	101	A
USGS	05536105	2008-05-18	1.72	A	92	A
USGS	05536105	2008-05-19	1.70	A	89	A
USGS	05536105	2008-05-20	1.65	A	82	A
USGS	05536105	2008-05-21	1.63	A	79	A
USGS	05536105	2008-05-22	1.59	A	72	A
USGS	05536105	2008-05-23	1.58	A	71	A
USGS	05536105	2008-05-24	1.57	A	69	A
USGS	05536105	2008-05-25	1.55	A	67	A
USGS	05536105	2008-05-26	2.53	A	275	A
USGS	05536105	2008-05-27	2.90	A	348	A
USGS	05536105	2008-05-28	2.22	A	184	A
USGS	05536105	2008-05-29	2.01	A	142	A
USGS	05536105	2008-05-30	2.23	A	190	A
USGS	05536105	2008-05-31	2.26	A	193	A
USGS	05536105	2008-06-01	1.93	A	128	A
USGS	05536105	2008-06-02	1.75	A	96	A
USGS	05536105	2008-06-03	1.77	A	100	A
USGS	05536105	2008-06-04	2.27	A	194	A
USGS	05536105	2008-06-05	2.73	A	308	A
USGS	05536105	2008-06-06	1.96	A	135	A
USGS	05536105	2008-06-07	1.72	A	92	A
USGS	05536105	2008-06-08	2.35	A	219	A
USGS	05536105	2008-06-09	4.30	A	791	A
USGS	05536105	2008-06-10	4.47	A	852	A
USGS	05536105	2008-06-11	3.86	A	635	A
USGS	05536105	2008-06-12	3.25	A	443	A
USGS	05536105	2008-06-13	3.09	A	396	A
USGS	05536105	2008-06-14	2.73	A	302	A
USGS	05536105	2008-06-15	2.47	A	239	A
USGS	05536105	2008-06-16	2.39	A	220	A
USGS	05536105	2008-06-17	2.21	A	181	A
USGS	05536105	2008-06-18	2.08	A	155	A
USGS	05536105	2008-06-19	1.79	A	102	A
USGS	05536105	2008-06-20	1.69	A	87	A
USGS	05536105	2008-06-21	1.65	A	81	A
USGS	05536105	2008-06-22	1.60	A	74	A
USGS	05536105	2008-06-23	1.57	A	68	A
USGS	05536105	2008-06-24	1.49	A	59	A
USGS	05536105	2008-06-25	1.45	A	52	A
USGS	05536105	2008-06-26	1.57	A	69	A
USGS	05536105	2008-06-27	1.65	A	82	A
USGS	05536105	2008-06-28	1.42	A	49	A
USGS	05536105	2008-06-29	2.04	A	155	A
USGS	05536105	2008-06-30	2.22	A	186	A
USGS	05536105	2008-07-01	1.65	A	82	A
USGS	05536105	2008-07-02	1.45	A	52	A
USGS	05536105	2008-07-03	2.71	A	302	A
USGS	05536105	2008-07-04	2.56	A	261	A
USGS	05536105	2008-07-05	2.07	A	153	A
USGS	05536105	2008-07-06	1.82	A	108	A
USGS	05536105	2008-07-07	1.74	A	95	A
USGS	05536105	2008-07-08	1.65	A	81	A
USGS	05536105	2008-07-09	1.71	A	89	A
USGS	05536105	2008-07-10	1.61	A	76	A
USGS	05536105	2008-07-11	2.51	A	248	A
USGS	05536105	2008-07-12	2.83	A	329	A
USGS	05536105	2008-07-13	2.90	A	346	A
USGS	05536105	2008-07-14	2.38	A	220	A
USGS	05536105	2008-07-15	2.08	A	156	A
USGS	05536105	2008-07-16	1.86	A	116	A
USGS	05536105	2008-07-17	1.68	A	86	A
USGS	05536105	2008-07-18	1.62	A	76	A
USGS	05536105	2008-07-19	3.26	A	472	A
USGS	05536105	2008-07-20	3.82	A	625	A
USGS	05536105	2008-07-21	2.79	A	319	A
USGS	05536105	2008-07-22	2.18	A	176	A
USGS	05536105	2008-07-23	1.84	A	111	A
USGS	05536105	2008-07-24	1.62	A	77	A
USGS	05536105	2008-07-25	1.49	A	59	A
USGS	05536105	2008-07-26	1.46	A	54	A
USGS	05536105	2008-07-27	1.38	A	45	A
USGS	05536105	2008-07-28	1.33	A	38	A
USGS	05536105	2008-07-29	1.30	A	35	A
USGS	05536105	2008-07-30	1.29	A	33	A
USGS	05536105	2008-07-31	1.31	A	37	A
USGS	05536105	2008-08-01	1.35	A	42	A
USGS	05536105	2008-08-02	1.28	A	32	A
USGS	05536105	2008-08-03	1.24	A	29	A
USGS	05536105	2008-08-04	1.54	A	89	A
USGS	05536105	2008-08-05	3.61	A	575	A
USGS	05536105	2008-08-06	1.84	A	114	A
USGS	05536105	2008-08-07	1.44	A	52	A
USGS	05536105	2008-08-08	1.33	A	39	A
USGS	05536105	2008-08-09	1.24	A	29	A
USGS	05536105	2008-08-10	1.23	A	28	A
USGS	05536105	2008-08-11	1.20	A	25	A
USGS	05536105	2008-08-12	1.27	A	32	A
USGS	05536105	2008-08-13	1.23	A	28	A
USGS	05536105	2008-08-14	1.31	A	37	A
USGS	05536105	2008-08-15	1.26	A	31	A
USGS	05536105	2008-08-16	1.19	A	24	A
USGS	05536105	2008-08-17	1.14	A	20	A
USGS	05536105	2008-08-18	1.13	A	19	A
USGS	05536105	2008-08-19	1.13	A	19	A
USGS	05536105	2008-08-20	1.13	A	19	A
USGS	05536105	2008-08-21	1.13	A	19	A
USGS	05536105	2008-08-22	1.22	A	27	A
USGS	05536105	2008-08-23	1.27	A	32	A
USGS	05536105	2008-08-24	1.19	A	24	A
USGS	05536105	2008-08-25	1.16	A	22	A
USGS	05536105	2008-08-26	1.18	A	23	A
USGS	05536105	2008-08-27	1.16	A	22	A
USGS	05536105	2008-08-28	1.12	A	19	A
USGS	05536105	2008-08-29	1.12	A	18	A
USGS	05536105	2008-08-30	1.12	A	19	A
USGS	05536105	2008-08-31	1.10	A	17	A
USGS	05536105	2008-09-01	1.09	A	16	A
USGS	05536105	2008-09-02	1.09	A	16	A
USGS	05536105	2008-09-03	1.25	A	33	A
USGS	05536105	2008-09-04	2.63	A	373	A
USGS	05536105	2008-09-05	5.01	A	1080	A
USGS	05536105	2008-09-06	4.67	A	935	A
USGS	05536105	2008-09-07	3.54	A	531	A
USGS	05536105	2008-09-08	2.98	A	370	A
USGS	05536105	2008-09-09	3.60	A	550	A
USGS	05536105	2008-09-10	2.52	A	251	A
USGS	05536105	2008-09-11	1.97	A	134	A
USGS	05536105	2008-09-12	1.73	A	93	A
USGS	05536105	2008-09-13	6.01	A	2260	A
USGS	05536105	2008-09-14	7.59	A	3310	A
USGS	05536105	2008-09-15	7.12	A	2870	A
USGS	05536105	2008-09-16	6.29	A	2150	A
USGS	05536105	2008-09-17	5.35	A	1460	A
USGS	05536105	2008-09-18	4.44	A	919	A
USGS	05536105	2008-09-19	4.10	A	763	A
USGS	05536105	2008-09-20	3.88	A	675	A
USGS	05536105	2008-09-21	3.52	A	544	A
